intervention,rep,loss,medical_cost
VHI_60_SH_60_30,1,1919591.55712344,611917.232482
VHI_60_SH_60_30,2,1924839.47545667,624730.205083
VHI_60_SH_60_30,3,1918075.17551548,609381.639962
VHI_60_SH_60_30,4,1920170.80281141,614107.856715
VHI_60_SH_60_30,5,1929714.3424416,635658.643619
VHI_60_SH_60_30,6,1923099.33151735,620880.121513
VHI_60_SH_60_30,7,1919178.72101157,612996.741969
VHI_60_SH_60_30,8,1922552.50198825,619167.491778
VHI_60_SH_60_30,9,1912897.2200164,598093.69413
VHI_60_SH_60_30,10,1921074.01341144,616605.410716
VHI_60_SH_60_30,11,1911426.05455998,594202.630037
VHI_60_SH_60_30,12,1928363.8743628,631597.208524
VHI_60_SH_60_30,13,1922462.81231122,620165.521608
VHI_60_SH_60_30,14,1922469.37386489,618484.413502
VHI_60_SH_60_30,15,1912305.32476459,596542.970207
VHI_60_SH_60_45,1,2703782.16984977,569707.57332
VHI_60_SH_60_45,2,2709090.87612471,580919.035209
VHI_60_SH_60_45,3,2708621.97119138,579305.47511
VHI_60_SH_60_45,4,2707488.99159158,580240.392207
VHI_60_SH_60_45,5,2702597.32382049,566343.66133
VHI_60_SH_60_45,6,2706245.34818947,575617.408323
VHI_60_SH_60_45,7,2703540.03561589,569762.67508
VHI_60_SH_60_45,8,2696875.97120875,556390.654459
VHI_60_SH_60_45,9,2699108.19151793,562749.377857
VHI_60_SH_60_45,10,2725127.98888962,616164.239582
VHI_60_SH_60_45,11,2710351.2771944,583750.176869
VHI_60_SH_60_45,12,2700189.331087,560562.146235
VHI_60_SH_60_45,13,2707206.90492307,576585.631008
VHI_60_SH_60_45,14,2696876.04713175,555767.145539
VHI_60_SH_60_45,15,2715196.776168,592269.044177
VHI_60_SH_60_60,1,3443620.91979997,435984.021337
VHI_60_SH_60_60,2,3480039.34787428,510678.921498
VHI_60_SH_60_60,3,3449766.71905216,449522.77766
VHI_60_SH_60_60,4,3429284.4515344,406679.868381
VHI_60_SH_60_60,5,3472206.47702111,493712.432023
VHI_60_SH_60_60,6,3455409.0959068,455662.075676
VHI_60_SH_60_60,7,3452879.10126889,456812.36349
VHI_60_SH_60_60,8,3477506.30120211,504845.638829
VHI_60_SH_60_60,9,3473982.03224579,497582.706155
VHI_60_SH_60_60,10,3446509.49796953,439561.641473
VHI_60_SH_60_60,11,3471566.42535157,493624.676261
VHI_60_SH_60_60,12,3476397.10739671,501712.475557
VHI_60_SH_60_60,13,3466544.85952842,478142.045858
VHI_60_SH_60_60,14,3477249.63927417,504226.566854
VHI_60_SH_60_60,15,3460872.57437732,472168.602911
VHI_70_SH_70_30,1,2122181.07268106,525948.661979
VHI_70_SH_70_30,2,2109483.81881524,504535.3049
VHI_70_SH_70_30,3,2116367.14043987,519718.098742
VHI_70_SH_70_30,4,2108665.72104075,503331.69461
VHI_70_SH_70_30,5,2104754.27559301,491810.643368
VHI_70_SH_70_30,6,2097749.81611694,478236.268737
VHI_70_SH_70_30,7,2106340.48244864,497009.665645
VHI_70_SH_70_30,8,2106855.15205481,496920.280642
VHI_70_SH_70_30,9,2116162.669766,516043.243061
VHI_70_SH_70_30,10,2111195.55964395,507440.274014
VHI_70_SH_70_30,11,2101182.29874205,484203.96478
VHI_70_SH_70_30,12,2102434.08617493,484406.609634
VHI_70_SH_70_30,13,2105221.03831495,497431.062314
VHI_70_SH_70_30,14,2095845.06075183,477483.893086
VHI_70_SH_70_30,15,2086116.0178553,455129.824171
VHI_70_SH_70_45,1,2912007.56877779,291460.182778
VHI_70_SH_70_45,2,2886116.30012809,233617.551695
VHI_70_SH_70_45,3,2930841.366413,333588.931576
VHI_70_SH_70_45,4,2908993.24917167,277709.713695
VHI_70_SH_70_45,5,2892023.27666496,251974.286749
VHI_70_SH_70_45,6,2899766.04010284,264164.081752
VHI_70_SH_70_45,7,2898001.18762234,265057.745495
VHI_70_SH_70_45,8,2919951.91128184,302955.963695
VHI_70_SH_70_45,9,2911670.16830516,282929.711835
VHI_70_SH_70_45,10,2900477.37203242,267351.492958
VHI_70_SH_70_45,11,2891004.20314623,243047.606815
VHI_70_SH_70_45,12,2868278.4477679,186795.951722
VHI_70_SH_70_45,13,2908802.49982566,274912.155956
VHI_70_SH_70_45,14,2920467.83147125,307033.974761
VHI_70_SH_70_45,15,2922453.38593323,308021.285986
VHI_70_SH_70_60,1,3705065.29946305,52308.225483
VHI_70_SH_70_60,2,3719947.25644555,82782.541931
VHI_70_SH_70_60,3,3734685.88032002,115026.684575
VHI_70_SH_70_60,4,3740459.21908322,128068.698661
VHI_70_SH_70_60,5,3710246.07330054,60287.56105
VHI_70_SH_70_60,6,3707063.99075369,55900.702159
VHI_70_SH_70_60,7,3736150.8356659,116050.834551
VHI_70_SH_70_60,8,3732455.41152717,111658.172731
VHI_70_SH_70_60,9,3714617.20681765,73485.737214
VHI_70_SH_70_60,10,3739382.73587588,124943.552055
VHI_70_SH_70_60,11,3722910.75267209,91712.182724
VHI_70_SH_70_60,12,3730145.69552528,105050.217738
VHI_70_SH_70_60,13,3700462.47730177,42369.600296
VHI_70_SH_70_60,14,3720259.53088736,83669.571477
VHI_70_SH_70_60,15,3720925.70199842,85813.910967
VHI_80_SH_80_30,1,2192747.25263729,236519.973833
VHI_80_SH_80_30,2,2186553.92547223,222703.076862
VHI_80_SH_80_30,3,2188479.73901027,225203.787705
VHI_80_SH_80_30,4,2186121.67465489,221471.585526
VHI_80_SH_80_30,5,2206159.22841474,264535.940694
VHI_80_SH_80_30,6,2181380.55842286,212153.130805
VHI_80_SH_80_30,7,2172706.73578729,189341.346618
VHI_80_SH_80_30,8,2177382.98093183,199175.767811
VHI_80_SH_80_30,9,2147451.74697765,133855.868659
VHI_80_SH_80_30,10,2178191.83714806,199444.734918
VHI_80_SH_80_30,11,2182195.10335432,208708.932298
VHI_80_SH_80_30,12,2159428.10837037,162032.163848
VHI_80_SH_80_30,13,2179058.79186437,201849.305598
VHI_80_SH_80_30,14,2221637.83338846,294412.350552
VHI_80_SH_80_30,15,2183693.81354803,213765.429573
VHI_80_SH_80_45,1,3086008.82080178,39639.036039
VHI_80_SH_80_45,2,3103071.62600409,80692.819357
VHI_80_SH_80_45,3,3111072.47158477,95787.243391
VHI_80_SH_80_45,4,3078180.71254815,24514.022324
VHI_80_SH_80_45,5,3084027.32246322,36621.186573
VHI_80_SH_80_45,6,3104421.72134755,78923.043258
VHI_80_SH_80_45,7,3082074.26836981,32683.150023
VHI_80_SH_80_45,8,3086954.56628477,45887.136101
VHI_80_SH_80_45,9,3078887.0346551,26016.243243
VHI_80_SH_80_45,10,3091765.32439476,53033.981586
VHI_80_SH_80_45,11,3097488.44539224,65219.100222
VHI_80_SH_80_45,12,3097796.74587851,68307.80461
VHI_80_SH_80_45,13,3090549.60395075,50702.127318
VHI_80_SH_80_45,14,3078766.55546416,25731.766195
VHI_80_SH_80_45,15,3104160.12126915,80581.322926
VHI_80_SH_80_60,1,4060897.95198153,23795.848737
VHI_80_SH_80_60,2,4062094.9718927,26384.745198
VHI_80_SH_80_60,3,4061871.03179312,25944.351916
VHI_80_SH_80_60,4,4065845.30588149,34914.803494
VHI_80_SH_80_60,5,4062024.53320007,26136.007062
